zipcode,market,Days_Count,Claim_Count,AvgClaimsPerDay,radius,area,adj_zip_30,stem_distance
28734,Atlanta GA,7,7,1.0,15.0,301.25,['28734' '30525' '30546' '30568'],97.4038000069451
30004,Atlanta GA,23,28,1.2173913043478262,6.0,57.39,"['30004' '30005' '30008' '30009' '30011' '30017' '30019' '30021' '30022'
 '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30039' '30040'
 '30041' '30043' '30044' '30045' '30046' '30047' '30058' '30060' '30062'
 '30064' '30066' '30067' '30068' '30071' '30072' '30075' '30076' '30078'
 '30079' '30080' '30082' '30083' '30084' '30087' '30088' '30092' '30093'
 '30096' '30097' '30101' '30102' '30106' '30107' '30114' '30115' '30121'
 '30126' '30127' '30137' '30143' '30144' '30152' '30168' '30171' '30183'
 '30188' '30189' '30303' '30305' '30306' '30307' '30308' '30309' '30310'
 '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319'
 '30324' '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341'
 '30342' '30345' '30346' '30350' '30360' '30363' '30504' '30506' '30517'
 '30518' '30519' '30534' '30542' '30566']",14.840864681380756
30005,Atlanta GA,8,8,1.0,4.0,14.49,"['30004' '30005' '30008' '30009' '30011' '30012' '30017' '30019' '30021'
 '30022' '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30038'
 '30039' '30040' '30041' '30043' '30044' '30045' '30046' '30047' '30052'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30096' '30097' '30101' '30102' '30106' '30107'
 '30114' '30115' '30126' '30143' '30144' '30152' '30168' '30183' '30188'
 '30189' '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311'
 '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324'
 '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341' '30342'
 '30345' '30346' '30350' '30360' '30363' '30501' '30504' '30506' '30507'
 '30517' '30518' '30519' '30534' '30542' '30548' '30566' '30620' '30680']",11.655568834768031
30008,Atlanta GA,6,6,1.0,4.0,9.45,"['30004' '30005' '30008' '30009' '30021' '30022' '30030' '30032' '30033'
 '30034' '30035' '30038' '30044' '30047' '30058' '30060' '30062' '30064'
 '30066' '30067' '30068' '30071' '30072' '30075' '30076' '30079' '30080'
 '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30096' '30097'
 '30101' '30102' '30106' '30114' '30115' '30120' '30121' '30122' '30126'
 '30127' '30132' '30134' '30135' '30137' '30141' '30144' '30152' '30153'
 '30157' '30168' '30178' '30179' '30180' '30183' '30187' '30188' '30189'
 '30213' '30236' '30260' '30268' '30273' '30274' '30288' '30290' '30291'
 '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318'
 '30319' '30324' '30326' '30327' '30328' '30329' '30331' '30337' '30338'
 '30339' '30340' '30341' '30342' '30344' '30345' '30346' '30349' '30350'
 '30354' '30360' '30363']",19.707452737017583
30009,Atlanta GA,6,8,1.3333333333333333,3.0,9.6,"['30004' '30005' '30008' '30009' '30011' '30017' '30019' '30021' '30022'
 '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30038' '30039'
 '30040' '30041' '30043' '30044' '30045' '30046' '30047' '30052' '30058'
 '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072' '30075'
 '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087' '30088'
 '30092' '30093' '30096' '30097' '30101' '30102' '30106' '30107' '30114'
 '30115' '30121' '30122' '30126' '30127' '30137' '30143' '30144' '30152'
 '30168' '30183' '30188' '30189' '30288' '30294' '30303' '30305' '30306'
 '30307' '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30331' '30338' '30339' '30340' '30341' '30342' '30344' '30345' '30346'
 '30350' '30354' '30360' '30363' '30504' '30506' '30518' '30519' '30534'
 '30542' '30566']",11.780339178413765
30011,Atlanta GA,6,6,1.0,5.0,26.62,"['30004' '30005' '30009' '30011' '30012' '30013' '30017' '30019' '30021'
 '30022' '30024' '30025' '30028' '30033' '30035' '30039' '30040' '30041'
 '30043' '30044' '30045' '30046' '30047' '30052' '30054' '30058' '30071'
 '30072' '30076' '30078' '30079' '30083' '30084' '30087' '30088' '30092'
 '30093' '30096' '30097' '30338' '30340' '30341' '30345' '30346' '30350'
 '30360' '30501' '30504' '30506' '30507' '30517' '30518' '30519' '30529'
 '30530' '30542' '30543' '30548' '30549' '30554' '30558' '30565' '30566'
 '30567' '30601' '30605' '30606' '30607' '30620' '30621' '30622' '30655'
 '30656' '30666' '30677' '30680']",24.22714828667943
30012,Atlanta GA,9,13,1.4444444444444444,6.0,42.83,"['30005' '30011' '30012' '30013' '30014' '30016' '30017' '30019' '30021'
 '30022' '30024' '30025' '30030' '30032' '30033' '30034' '30035' '30038'
 '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054' '30055'
 '30056' '30058' '30071' '30072' '30076' '30078' '30079' '30083' '30084'
 '30087' '30088' '30092' '30093' '30094' '30096' '30097' '30228' '30233'
 '30234' '30236' '30238' '30248' '30252' '30253' '30260' '30273' '30274'
 '30281' '30288' '30294' '30296' '30297' '30303' '30305' '30306' '30307'
 '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315' '30316'
 '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329' '30331'
 '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345' '30346'
 '30349' '30350' '30354' '30360' '30363' '30518' '30519' '30620' '30655'
 '30656' '30663' '30680']",19.426374761773385
30013,Atlanta GA,13,20,1.5384615384615385,7.0,28.36,"['30011' '30012' '30013' '30014' '30016' '30017' '30019' '30021' '30024'
 '30025' '30030' '30032' '30033' '30034' '30035' '30038' '30039' '30043'
 '30044' '30045' '30046' '30047' '30052' '30054' '30055' '30056' '30058'
 '30071' '30072' '30078' '30079' '30083' '30084' '30087' '30088' '30092'
 '30093' '30094' '30096' '30097' '30216' '30228' '30233' '30234' '30236'
 '30238' '30248' '30252' '30253' '30260' '30273' '30274' '30281' '30288'
 '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318'
 '30319' '30324' '30326' '30327' '30329' '30337' '30338' '30340' '30341'
 '30342' '30344' '30345' '30346' '30349' '30354' '30360' '30363' '30620'
 '30650' '30655' '30656' '30663' '30680' '31064']",24.037058193469715
30014,Atlanta GA,8,8,1.0,16.0,115.92,"['30012' '30013' '30014' '30016' '30017' '30019' '30021' '30025' '30030'
 '30032' '30033' '30034' '30035' '30038' '30039' '30044' '30045' '30046'
 '30047' '30052' '30054' '30055' '30056' '30058' '30072' '30078' '30079'
 '30083' '30084' '30087' '30088' '30093' '30094' '30216' '30228' '30233'
 '30234' '30236' '30248' '30252' '30253' '30260' '30273' '30281' '30288'
 '30294' '30297' '30316' '30317' '30620' '30621' '30625' '30650' '30655'
 '30656' '30663' '30680' '31064']",31.755311618893643
30016,Atlanta GA,20,21,1.05,9.0,91.57,"['30012' '30013' '30014' '30016' '30017' '30021' '30025' '30030' '30032'
 '30033' '30034' '30035' '30038' '30039' '30044' '30045' '30046' '30047'
 '30052' '30054' '30055' '30056' '30058' '30072' '30078' '30079' '30083'
 '30084' '30087' '30088' '30094' '30216' '30223' '30224' '30228' '30233'
 '30234' '30236' '30238' '30248' '30252' '30253' '30260' '30273' '30274'
 '30281' '30288' '30294' '30297' '30307' '30315' '30316' '30317' '30354'
 '30620' '30650' '30655' '30656' '30663' '31064']",32.004754245510064
30017,Atlanta GA,7,7,1.0,3.0,11.96,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30055' '30058' '30062' '30067' '30068'
 '30071' '30072' '30075' '30076' '30078' '30079' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30260' '30273' '30281'
 '30288' '30294' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319'
 '30324' '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341'
 '30342' '30345' '30346' '30350' '30354' '30360' '30363' '30504' '30507'
 '30517' '30518' '30519' '30542' '30548' '30549' '30566' '30567' '30620'
 '30621' '30622' '30655' '30656' '30663' '30666' '30680']",15.37613115731066
30019,Atlanta GA,17,20,1.1764705882352942,8.0,46.33,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30017' '30019'
 '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033' '30034'
 '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045' '30046'
 '30047' '30052' '30054' '30058' '30071' '30072' '30075' '30076' '30078'
 '30079' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30307' '30317' '30319' '30324' '30326' '30328' '30329' '30338'
 '30340' '30341' '30342' '30345' '30346' '30350' '30360' '30501' '30504'
 '30506' '30507' '30517' '30518' '30519' '30529' '30542' '30543' '30548'
 '30549' '30558' '30565' '30566' '30567' '30601' '30606' '30607' '30620'
 '30621' '30622' '30655' '30656' '30663' '30666' '30677' '30680']",20.752778785257156
30021,Atlanta GA,6,6,1.0,2.0,3.54,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30058' '30060' '30062' '30064' '30066'
 '30067' '30068' '30071' '30072' '30075' '30076' '30078' '30079' '30080'
 '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30102' '30106' '30115' '30122' '30126' '30127' '30134' '30135'
 '30144' '30152' '30168' '30188' '30189' '30213' '30214' '30228' '30236'
 '30238' '30252' '30253' '30260' '30273' '30274' '30281' '30288' '30291'
 '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318'
 '30319' '30324' '30326' '30327' '30328' '30329' '30331' '30337' '30338'
 '30339' '30340' '30341' '30342' '30344' '30345' '30346' '30349' '30350'
 '30354' '30360' '30363' '30518' '30519']",7.067859407321805
30022,Atlanta GA,23,27,1.173913043478261,5.0,25.44,"['30004' '30005' '30008' '30009' '30011' '30012' '30017' '30019' '30021'
 '30022' '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30038'
 '30039' '30040' '30041' '30043' '30044' '30045' '30046' '30047' '30052'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30096' '30097' '30101' '30102' '30106' '30107'
 '30114' '30115' '30122' '30126' '30127' '30144' '30152' '30168' '30183'
 '30188' '30189' '30288' '30294' '30297' '30303' '30305' '30306' '30307'
 '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315' '30316'
 '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329' '30331'
 '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345' '30346'
 '30350' '30354' '30360' '30363' '30504' '30506' '30517' '30518' '30519'
 '30534' '30542' '30548' '30566' '30620']",7.923378048450355
30024,Atlanta GA,23,29,1.2608695652173914,6.0,42.55,"['30004' '30005' '30009' '30011' '30012' '30013' '30017' '30019' '30021'
 '30022' '30024' '30028' '30030' '30032' '30033' '30034' '30035' '30038'
 '30039' '30040' '30041' '30043' '30044' '30045' '30046' '30047' '30052'
 '30054' '30058' '30060' '30062' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30107' '30114' '30115'
 '30144' '30188' '30189' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319'
 '30324' '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341'
 '30342' '30345' '30346' '30350' '30360' '30363' '30501' '30504' '30506'
 '30507' '30517' '30518' '30519' '30534' '30542' '30543' '30548' '30549'
 '30566' '30567' '30620' '30655' '30656' '30666' '30680']",13.381132407301996
30025,Atlanta GA,5,5,1.0,7.0,67.72,"['30011' '30012' '30013' '30014' '30016' '30017' '30019' '30025' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30055' '30056' '30058' '30078' '30083' '30087' '30088' '30094' '30216'
 '30233' '30234' '30252' '30253' '30605' '30606' '30607' '30620' '30621'
 '30622' '30625' '30650' '30655' '30656' '30663' '30666' '30677' '30680'
 '31064']",35.25293203637467
30028,Atlanta GA,7,9,1.2857142857142858,8.0,51.02,"['30004' '30005' '30009' '30011' '30017' '30019' '30021' '30022' '30024'
 '30028' '30033' '30039' '30040' '30041' '30043' '30044' '30045' '30046'
 '30047' '30052' '30062' '30066' '30067' '30068' '30071' '30072' '30075'
 '30076' '30078' '30079' '30083' '30084' '30087' '30092' '30093' '30096'
 '30097' '30107' '30114' '30115' '30143' '30183' '30188' '30189' '30319'
 '30326' '30327' '30328' '30329' '30338' '30340' '30341' '30342' '30345'
 '30346' '30350' '30360' '30501' '30504' '30506' '30507' '30517' '30518'
 '30519' '30527' '30533' '30534' '30542' '30543' '30548' '30549' '30554'
 '30566' '30567' '30620' '30680']",21.07273598249161
30030,Atlanta GA,8,9,1.125,2.0,6.51,"['30004' '30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30101' '30102' '30106'
 '30122' '30126' '30127' '30134' '30135' '30141' '30144' '30152' '30168'
 '30188' '30189' '30213' '30214' '30215' '30228' '30236' '30238' '30252'
 '30253' '30260' '30268' '30273' '30274' '30281' '30288' '30290' '30291'
 '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308' '30309'
 '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317' '30318'
 '30319' '30324' '30326' '30327' '30328' '30329' '30331' '30337' '30338'
 '30339' '30340' '30341' '30342' '30344' '30345' '30346' '30349' '30350'
 '30354' '30360' '30363' '30518' '30519']",10.25668314917964
30032,Atlanta GA,13,13,1.0,3.0,13.63,"['30004' '30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30106' '30122' '30126'
 '30127' '30134' '30135' '30144' '30152' '30168' '30188' '30213' '30214'
 '30215' '30228' '30236' '30238' '30248' '30252' '30253' '30260' '30268'
 '30269' '30273' '30274' '30281' '30288' '30290' '30291' '30294' '30296'
 '30297' '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311'
 '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324'
 '30326' '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340'
 '30341' '30342' '30344' '30345' '30346' '30349' '30350' '30354' '30360'
 '30363' '30518']",12.018239697304027
30033,Atlanta GA,4,4,1.0,3.0,9.24,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30058' '30060' '30062' '30064' '30066'
 '30067' '30068' '30071' '30072' '30075' '30076' '30078' '30079' '30080'
 '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30101' '30102' '30106' '30115' '30122' '30126' '30127' '30134'
 '30135' '30141' '30144' '30152' '30168' '30188' '30189' '30213' '30214'
 '30228' '30236' '30238' '30252' '30253' '30260' '30273' '30274' '30281'
 '30288' '30290' '30291' '30294' '30296' '30297' '30303' '30305' '30306'
 '30307' '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30331' '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345'
 '30346' '30349' '30350' '30354' '30360' '30363' '30518' '30519']",7.4742224451554184
30034,Atlanta GA,15,20,1.3333333333333333,4.0,16.95,"['30004' '30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30106' '30122' '30126'
 '30127' '30134' '30135' '30168' '30213' '30214' '30215' '30223' '30228'
 '30234' '30236' '30238' '30248' '30252' '30253' '30260' '30268' '30269'
 '30273' '30274' '30281' '30288' '30290' '30291' '30294' '30296' '30297'
 '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311' '30312'
 '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324' '30326'
 '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340' '30341'
 '30342' '30344' '30345' '30346' '30349' '30350' '30354' '30360' '30363']",15.106990042939573
30035,Atlanta GA,7,7,1.0,3.0,8.55,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30025' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30043' '30044' '30045' '30046' '30047'
 '30052' '30054' '30058' '30060' '30062' '30064' '30066' '30067' '30068'
 '30071' '30072' '30075' '30076' '30078' '30079' '30080' '30082' '30083'
 '30084' '30087' '30088' '30092' '30093' '30094' '30096' '30097' '30106'
 '30122' '30126' '30127' '30168' '30213' '30214' '30215' '30228' '30234'
 '30236' '30238' '30248' '30252' '30253' '30260' '30273' '30274' '30281'
 '30288' '30290' '30291' '30294' '30296' '30297' '30303' '30305' '30306'
 '30307' '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30331' '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345'
 '30346' '30349' '30350' '30354' '30360' '30363' '30518' '30519' '30655'
 '30656']",12.933167902748337
